Calibrated R3PGN,MLP/NNN,Physics Regularisation,Residual Physics
0.934699,0.699707448,0.478056222,0.734541118
2.940681,1.594577909,0.656296253,1.596328735
3.037026,0.927245855,0.429494828,3.196111679
